"id";"value";"url";"market_id"
129;"4547410173772";"https://todocamaras.cl/films-recargas/44-film-fuji-instax-wide.html";12
7501;"BK-4MCCA4BA";"https://www.killstore.cl/pilas-aaa-4u-panasonic-recargable-eneloop-800mah/p";9
120;"NIP-M75";"https://www.andesphoto.cl/portafiltros-nisi-75mm-m75-con-polarizador";1
5182;"1618";"https://www.killstore.cl/camara-nikon-d780-body/p";9
2123;"600020702";"https://www.killstore.cl/lente-fujifilm-gf-100-200mm-f-56-r-lm-ois-wr/p";9
157;"169";"https://www.apertura.cl/tienda/24-en-tienda/169-lente-18-55-f-35-56-is-canon.html";2
178;"3281";"https://www.apertura.cl/tienda/canon/3281-canon-lente-ef-s-60mm-f28-macro-usm.html";2
170;"3282";"https://www.apertura.cl/tienda/canon/3282-canon-lente-ef-s-35mm-f28-macro-is-stm.html";2
172;"2502";"https://www.apertura.cl/tienda/lentes-para-canon/2502-sigma-17-70mm-contemporary-f28-4-dc-macro-os-hsm-zoom-para-canon.html";2
183;"166";"https://www.apertura.cl/tienda/lentes-para-canon/166-lente-canon-gran-angular-ef-s-10-22mm-usm-f35-45-para-camaras-formato-aps-c.html";2
191;"3218";"https://www.apertura.cl/tienda/lentes-para-canon/3218-canon-lente-ef-s-15-85mm-f35-56-is-usm.html";2
161;"793";"https://www.apertura.cl/tienda/lentes-para-canon/793-lente-canon-ef-75-300mm-f4-56-iii.html";2
174;"1212";"https://www.apertura.cl/tienda/lentes-para-canon/1212-lente-18-270-mm-35-63-di-ii-vc-pzd-tamron-para-canon.html";2
5492;"PL-S-2";"https://www.tripodes.cl/peak-design-standard-plate-pl-s-2";13
165;"1213";"https://www.apertura.cl/tienda/lentes-para-canon/1213-lente18-200-mm-f35-63-di-ii-vc-tamron-para-canon.html";2
156;"1221";"https://www.apertura.cl/tienda/lentes-para-canon/1221-lente-tamron-af-70-300mm-f4-56-di-ld-macro-12-para-canon.html";2
153;"1250";"https://www.apertura.cl/tienda/lentes-para-canon/1250-lente-50-mm-f-18-ii-canon.html";2
169;"1360";"https://www.apertura.cl/tienda/fotografoa-profesional/1360-lente-canon-ef-50mm-f14-usm.html";2
149;"1491";"https://www.apertura.cl/tienda/lentes-para-canon/1491-lente-yongnuo-yn-50mm-f18-canon.html";2
152;"1569";"https://www.apertura.cl/tienda/lentes-para-canon/1569-yongnuo-35mm-f2-lente-para-canon.html";2
189;"1763";"https://www.apertura.cl/tienda/fotografoa-profesional/1763-canon-17-40-f4l-usm-lente-serie-l.html";2
162;"1821";"https://www.apertura.cl/tienda/lentes-para-canon/1821-yongnuo-100mm-f2-lente-para-canon.html";2
163;"1822";"https://www.apertura.cl/tienda/fotografoa-profesional/1822-yongnuo-85mm-f18-lente-para-canon.html";2
187;"1928";"https://www.apertura.cl/tienda/24-en-tienda/1928-canon-ef-s-18-135mm-f35-56-is-nano-usm-gran-angular-y-teleobjetivo.html";2
159;"2258";"https://www.apertura.cl/tienda/lentes-para-canon/2258-canon-40mm-ef-f28-stm-pancake.html";2
180;"2331";"https://www.apertura.cl/tienda/fotografoa-profesional/2331-yongnuo-14mm-28-lente-para-camaras-full-frame-o-apsc-canon.html";2
177;"2512";"https://www.apertura.cl/tienda/lentes-para-canon/2512-sigma-30mm-f14-dc-dn-gran-angular-para-camaras-de-formato-apsc-para-canon.html";2
150;"2644";"https://www.apertura.cl/tienda/lentes-para-canon/2644-yongnuo-lente-50mm-f18-ii-para-canon-con-montura-metalica-color-negro.html";2
151;"2645";"https://www.apertura.cl/tienda/lentes-para-canon/2645-yongnuo-50mm-f18-ii-lente-para-canon-con-montura-metalica-color-blanco-edicion-especial.html";2
6097;"3926";"https://www.apertura.cl/tienda/fotografo-aficionado/3926-fujifilm-x-t3-camara-mirrorless-sin-espejo-negra-sin-lente.html";2
6098;"3928";"https://www.apertura.cl/tienda/fujifilm/3928-fujifilm-x-t4-camara-mirrorless-26mp-solo-cuerpo-sin-lente.html";2
160;"2646";"https://www.apertura.cl/tienda/fotografoa-profesional/2646-yongnuo-50mm-f14-lente-para-canon-para-fotografiar-hasta-en-las-condiciones-mas-dificiles.html";2
154;"2661";"https://www.apertura.cl/tienda/fotografoa-profesional/2661-canon-ef-s-24mm-f28-ef-s-stm.html";2
166;"2712";"https://www.apertura.cl/tienda/fotografoa-profesional/2712-yongnuo-60mm-f2-macro-11-mf-lente-para-camaras-canon-6947110911052.html";2
171;"3040";"https://www.apertura.cl/tienda/fotografoa-profesional/3040-yongnuo-35mm-f14-lente-para-canon-ef-gran-angular.html";2
192;"3056";"https://www.apertura.cl/tienda/lentes-para-canon/3056-tamron-35mm-f14-di-vc-usd-lente-para-canon.html";2
158;"3205";"https://www.apertura.cl/tienda/lentes-para-canon/3205-canon-lente-ef-s-18-55mm-f35-56-is-ii.html";2
186;"3207";"https://www.apertura.cl/tienda/lentes-para-canon/3207-canon-lente-ef-24-105mm-f35-56-is-stm.html";2
168;"3211";"https://www.apertura.cl/tienda/lentes-para-canon/3211-canon-lente-ef-85mm-f18-usm.html";2
176;"3216";"https://www.apertura.cl/tienda/lentes-para-canon/3216-canon-lente-ef-100mm-f2-usm.html";2
185;"3230";"https://www.apertura.cl/tienda/lentes-para-canon/3230-canon-lente-ef-35mm-f2-is-usm.html";2
175;"3238";"https://www.apertura.cl/tienda/lentes-para-canon/3238-canon-lente-ef-28mm-f28-is-usm.html";2
181;"3239";"https://www.apertura.cl/tienda/lentes-para-canon/3239-canon-lente-ef-24mm-f28-is-usm.html";2
184;"3273";"https://www.apertura.cl/tienda/lentes-para-canon/3273-canon-lente-ef-70-300mm-f4-56-is-ii-usm.html";2
190;"3594";"https://www.apertura.cl/tienda/lentes-para-canon/3594-canon-lente-ef-s-18-200mm-f35-56-is.html";2
182;"3704";"https://www.apertura.cl/tienda/lentes-para-canon/3704-yongnuo-yn-35mm-f14c-df-uwm-lente-ultrasonico-para-canon.html";2
141;"2522";"https://www.apertura.cl/tienda/adaptadores/2522-sigma-usb-dock-para-canon-permite-a-los-fotografos-actualizar-el-firmware-del-objetivo.html";2
3224;"PW-R006";"https://www.tripodes.cl/mpu105l-placa-de-liberacion-rapida-arca-swiss-tipo-l";13
179;"195";"https://www.apertura.cl/tienda/lentes-para-canon/195-lente-28-75-f-28-tamron.html";2
193;"1378";"https://www.apertura.cl/tienda/lentes-para-canon/1378-lente-tamron-90mm-28-di-macro-11-vc-usd-para-canon.html";2
194;"2485";"https://www.apertura.cl/tienda/lentes-para-canon/2485-sigma-18-35mm-f18-dc-hsm-art-zoom-gran-angular-para-canon-85126210540.html";2
195;"3021";"https://www.apertura.cl/tienda/lentes-para-canon/3021-tamron-100-400-f45-63-di-vc-usd-lente-para-canon.html";2
196;"3051";"https://www.apertura.cl/tienda/lentes-para-canon/3051-tamron-35-150mm-f28-4-di-vc-osd-lente-para-canon.html";2
234;"3268";"https://www.apertura.cl/tienda/fotografoa-profesional/3268-canon-lente-ef-70-200mm-f28l-is-iii-usm-serie-l-lente-profesional-canon.html";2
4543;"PL-85";"https://www.tripodes.cl/benro-pl-85-placa-de-liberacion-rapida-arca-swiss";13
227;"3253";"https://www.apertura.cl/tienda/lentes-para-canon/3253-canon-lente-ts-e-17mm-f4l-tilt-shift.html";2
6344;"1066c001";"https://www.marensepia.cl/1066c001";21
213;"3284";"https://www.apertura.cl/tienda/canon/3284-canon-lente-ef-180-mm-f35l-macro-usm.html";2
208;"3596";"https://www.apertura.cl/tienda/lentes-para-canon/3596-canon-lente-ef-300mm-f4l-is-usm.html";2
200;"2062";"https://www.apertura.cl/tienda/lentes-para-canon/2062-sigma-50mm-f14-art-dg-hsm-lente-para-canon.html";2
199;"2484";"https://www.apertura.cl/tienda/lentes-para-canon/2484-sigma-35mm-f14-dg-hsm-art-lente-para-canon-85126340544.html";2
197;"2507";"https://www.apertura.cl/tienda/lentes-para-canon/2507-sigma-24mm-f14-dg-hsm-art-gran-angular-para-canon.html";2
205;"2516";"https://www.apertura.cl/tienda/lentes-para-canon/2516-sigma-85mm-canon-f14-ex-dg-hsm-lente-para-canon.html";2
216;"2908";"https://www.apertura.cl/tienda/lentes-para-canon/2908-tamron-70-200-f28-di-vc-usd-g2-zoom-teleobjetivo-para-canon.html";2
3981;"1516403753124";"https://www.killstore.cl/canon-eos-6d-mark-ii--lente-ef-24-105mm-f-4l-is-usm/p";9
220;"3068";"https://www.apertura.cl/tienda/lentes-para-canon/3068-sigma-12-24mm-f4-dg-hsm-art-lente-para-canon.html";2
214;"3142";"https://www.apertura.cl/tienda/fotografoa-profesional/3142-canon-70-200-f28l-usm-serie-l-lente-profesional-canon.html";2
224;"3202";"https://www.apertura.cl/tienda/lentes-para-canon/3202-canon-lente-ef-24-70mm-f28l-ii-usm.html";2
210;"3203";"https://www.apertura.cl/tienda/lentes-para-canon/3203-canon-lente-ef-24-105mm-f4l-is-ii-usm.html";2
221;"3212";"https://www.apertura.cl/tienda/lentes-para-canon/3212-canon-lente-ef-85mm-f14l-is-usm.html";2
209;"3214";"https://www.apertura.cl/tienda/lentes-para-canon/3214-canon-lente-ef-50mm-f12l-usm.html";2
222;"3215";"https://www.apertura.cl/tienda/lentes-para-canon/3215-canon-lente-ef-85mm-f12l-ii-usm.html";2
202;"3220";"https://www.apertura.cl/tienda/lentes-para-canon/3220-canon-lente-ef-24-70mm-f4l-is-usm.html";2
201;"3221";"https://www.apertura.cl/tienda/lentes-para-canon/3221-canon-lente-ef-s-17-55mm-f28-is-usm.html";2
223;"3232";"https://www.apertura.cl/tienda/lentes-para-canon/3232-canon-lente-ef-35mm-f14l-ii-usm.html";2
218;"3237";"https://www.apertura.cl/tienda/lentes-para-canon/3237-canon-lente-ef-24mm-f14l-ii-usm.html";2
211;"3241";"https://www.apertura.cl/tienda/lentes-para-canon/3241-canon-lente-ef-8-15mm-f4l-fisheye-usm.html";2
235;"3243";"https://www.apertura.cl/tienda/lentes-para-canon/3243-canon-lente-ef-11-24mm-f4l-usm.html";2
225;"3247";"https://www.apertura.cl/tienda/lentes-para-canon/3247-canon-lente-ts-e-24mm-f35l-ii.html";2
229;"3248";"https://www.apertura.cl/tienda/lentes-para-canon/3248-canon-lente-ts-e-135mm-f4l-macro.html";2
212;"3254";"https://www.apertura.cl/tienda/lentes-para-canon/3254-canon-lente-ts-e-45mm-f28-tilt-shift.html";2
228;"3255";"https://www.apertura.cl/tienda/lentes-para-canon/3255-canon-lente-ts-e-50mm-f28l-macro.html";2
207;"3256";"https://www.apertura.cl/tienda/lentes-para-canon/3256-canon-lente-ts-e-90mm-f28.html";2
230;"3257";"https://www.apertura.cl/tienda/lentes-para-canon/3257-canon-lente-ts-e-90mm-f28l-macro.html";2
