"id";"value";"revised_at";"product_sku_id";"product_id";"price_type_id"
12886;649990;"2020-08-20 01";4891;5000;1
12887;2678990;"2020-08-30 21";3940;4035;2
12888;835990;"2020-08-20 01";4231;4334;2
12889;712490;"2020-08-20 01";4122;4225;2
12890;1842990;"2020-08-20 01";4123;4226;2
12891;835990;"2020-08-20 01";4127;4230;2
12892;1168490;"2020-08-20 01";4141;4244;2
12893;2089990;"2020-08-25 20";3943;4038;2
12894;1671990;"2020-08-25 20";3941;4036;2
12895;750490;"2020-08-20 01";4139;4242;2
12896;835990;"2020-08-20 01";4138;4241;2
12897;211989;"2020-08-20 01";2940;3046;1
12898;219990;"2020-08-20 01";2940;3046;1
12899;103679;"2020-08-20 01";2938;2509;1
12900;122547;"2020-08-20 01";2939;2508;1
12901;189990;"2020-08-30 22";2283;2415;1
12902;1210290;"2020-08-20 01";3969;4064;2
12903;396235;"2020-08-20 01";3988;4084;2
12904;455990;"2020-08-30 21";3704;3792;2
12905;849990;"2020-08-20 02";2680;1250;1
12906;1356800;"2020-08-20 02";2685;1233;1
12907;1698104;"2020-08-20 02";2686;2806;1
12908;201389;"2020-08-20 02";2689;1222;1
12909;688989;"2020-08-20 02";2738;1228;1
12910;299650;"2020-08-20 02";2741;1220;1
12911;310000;"2020-08-20 02";2741;1220;1
12912;127200;"2020-08-20 02";2742;1224;1
12913;339201;"2020-08-20 02";2746;1221;1
12914;70000;"2020-08-20 02";2749;2862;1
12915;40000;"2020-08-20 02";2750;2863;1
12916;74200;"2020-08-20 02";2749;3007;1
12917;42400;"2020-08-20 02";2750;3009;1
12918;40000;"2020-08-20 02";2867;3010;1
12919;211989;"2020-08-20 02";2940;3046;1
12920;219990;"2020-08-20 02";2940;3046;1
12921;1044990;"2020-08-20 02";1586;1714;2
12922;2004490;"2020-08-20 02";1602;1730;2
12923;1481990;"2020-08-25 21";1622;1750;2
12924;978490;"2020-08-20 02";1625;1753;2
12925;626990;"2020-08-20 02";1627;1755;2
12926;1253990;"2020-08-20 02";1630;1758;2
12927;835990;"2020-08-20 02";4053;4154;2
12928;1757490;"2020-08-20 02";1597;1725;2
12929;1168490;"2020-08-20 02";1598;1726;2
12930;921490;"2020-08-20 02";1642;1770;2
12931;1671990;"2020-08-25 21";1643;1771;2
12932;1339490;"2020-08-25 22";3685;3773;2
12933;750490;"2020-08-25 22";3687;3775;2
12934;503490;"2020-08-25 22";3696;3784;2
12935;332490;"2020-08-30 20";3698;3786;2
12936;313490;"2020-08-30 20";3680;3768;2
12937;626990;"2020-08-25 22";3699;3787;2
12938;329990;"2020-08-30 13";4833;1220;1
12939;1237090;"2020-08-30 17";4835;2806;1
12940;180900;"2020-08-20 02";2657;2785;1
12941;2925990;"2020-08-25 20";4133;4236;2
12942;1168490;"2020-08-20 02";4115;4218;2
12943;1675790;"2020-08-20 02";4137;4240;2
12944;1082990;"2020-08-25 20";4119;4222;2
12945;750490;"2020-08-25 20";4230;4333;2
12946;1168490;"2020-08-25 20";4141;4244;2
12947;750490;"2020-08-25 20";4139;4242;2
12948;835990;"2020-08-25 20";4138;4241;2
12949;499989;"2020-08-20 03";4091;4193;1
12950;586616;"2020-08-20 03";2132;2263;2
12951;437560;"2020-08-20 03";2151;2283;2
12952;117316;"2020-08-20 03";2159;2291;2
12953;1059989;"2020-08-20 03";2762;604;1
12954;877669;"2020-08-20 03";2763;601;1
12955;779089;"2020-08-20 03";2765;600;1
12956;365689;"2020-08-20 03";2767;597;1
12957;390069;"2020-08-20 03";2768;2537;1
